Element -4 -3 -2 -1 +1 +2 +3 +4 +5 +6 +7 +8
H 0 2 3 20556 67903 1 4 8 0 0 0 0
He 0 0 0 0 0 0 0 0 0 0 0 0
Li 1 0 0 0 12557 0 0 0 0 0 0 0
Be 0 0 0 0 0 1609 0 0 0 0 0 0
B 3 353 82 49 205 54 11625 0 0 0 0 0
C 5468 158 3767 371 927 16960 4625 19541 0 0 0 0
N 13 40140 1401 1813 753 215 1759 49 3576 1 0 0
O 16 2 694430 3580 0 0 5 0 0 3 1 0
F 4 2 4 46069 0 2 0 0 0 0 0 0
Ne 0 0 0 0 0 0 0 0 0 0 0 0
Na 0 0 0 2 33104 0 0 0 0 0 0 0
Mg 0 0 0 1 0 18197 0 0 0 0 0 0
Al 2 2 0 0 1 9 28079 0 0 0 0 0
Si 347 33 102 79 9 96 69 36988 0 0 0 0
P 16 2040 259 390 146 101 1379 861 24432 2 0 0
S 1 1 45357 2061 95 494 151 2352 177 8274 0 3
Cl 8 0 7 29346 4 4 60 12 150 0 644 0
Ar 0 0 0 0 0 0 0 0 0 0 0 0
K 0 0 0 0 30529 0 0 0 0 0 0 0
Ca 0 0 0 6 3 21620 0 0 0 0 0 0
Sc 0 0 0 0 36 38 1795 0 0 0 0 0
Ti 0 0 0 0 5 220 789 12191 0 0 0 0
V 0 0 0 0 16 194 1509 2613 5405 1 0 0
Cr 0 0 0 0 11 597 4364 213 174 965 0 0
Mn 0 1 0 24 95 9504 3188 1399 53 15 89 0
Fe 0 0 1 13 119 10580 14439 222 6 8 0 0
Co 0 0 1 45 93 5655 2215 102 0 0 0 0
Ni 0 0 3 0 102 5319 652 84 0 0 0 0
Cu 0 0 1 0 6773 8924 375 2 0 0 0 0
Zn 0 0 3 5 0 12938 13 3 0 0 0 0
Ga 2 12 2 2 47 124 6471 11 1 0 0 0
Ge 201 37 68 69 2 286 125 5104 0 0 0 0
As 5 2567 286 285 67 330 2435 26 4349 0 0 0
Se 0 0 17660 1244 64 138 18 2388 6 1310 0 2
Br 0 1 0 10322 23 0 27 0 178 0 32 0
Kr 0 0 0 0 0 35 0 0 0 0 0 0
Rb 0 0 0 2 8567 0 0 0 0 0 0 0
Sr 0 0 0 0 0 14460 0 0 0 0 0 0
Y 0 0 0 0 14 51 5468 16 0 0 0 0
Zr 0 0 0 0 28 97 110 4398 0 0 0 0
Nb 0 0 0 0 18 92 315 576 6940 3 0 0
Mo 0 0 0 0 18 409 455 549 1947 11523 6 0
Tc 0 0 0 0 13 15 80 56 7 1 73 0
Ru 0 0 0 0 14 310 258 774 533 93 1 6
Rh 0 0 0 6 27 81 549 104 12 0 0 0
Pd 0 0 0 0 88 1452 31 95 0 0 0 0
Ag 0 0 0 0 8212 151 36 0 0 0 0 0
Cd 0 0 0 0 12 6591 2 0 0 0 0 0
In 0 3 0 17 475 201 4967 0 0 0 0 0
Sn 50 28 51 61 0 1746 69 3307 0 0 0 0
Sb 0 1224 245 154 1 18 4906 82 2660 1 0 0
Te 0 1 5905 912 66 112 0 2414 13 1292 0 0
I 3 3 0 11965 73 0 46 6 1365 4 243 0
Xe 0 0 0 0 0 226 4 13 0 142 0 6
Cs 0 0 0 0 12766 0 0 0 0 0 0 0
Ba 0 0 0 0 0 18494 5 0 0 0 0 0
La 0 0 0 0 7 95 11683 8 0 0 0 0
Ce 0 0 0 4 0 87 3313 1043 0 0 0 0
Pr 0 0 0 0 0 51 3213 114 0 0 0 0
Nd 0 0 0 0 0 97 4899 11 1 0 0 0
Pm 0 0 0 0 0 0 13 0 0 0 0 0
Sm 0 0 0 0 1 165 2464 5 0 0 0 0
Eu 0 0 0 0 2 1230 1712 7 0 0 0 0
Gd 0 0 0 0 3 49 2866 6 0 0 0 0
Tb 0 0 0 0 11 34 1309 104 0 0 0 0
Dy 0 0 0 0 0 59 1712 3 0 0 0 0
Ho 0 0 0 0 0 18 1702 2 0 0 0 0
Er 0 0 0 0 0 28 1971 3 0 0 0 0
Tm 0 0 0 0 0 37 943 2 0 0 0 0
Yb 0 0 0 0 0 281 1734 4 0 0 0 0
Lu 0 0 0 0 0 5 1162 2 0 0 0 0
Hf 0 0 0 0 2 26 48 820 0 0 0 0
Ta 0 0 0 0 40 41 121 289 3112 3 0 0
